year,t1,t2,d1,d2,fare,time
2013,20,22,12,15,39.4143773041,1773.22786771
2013,20,22,15,18,49.5483305343,1882.24310576
2013,20,22,18,21,52.2991718208,2118.0974506
2013,20,22,21,24,56.0418734048,2350.30997958
2013,20,22,24,50,80.3449754018,2783.74647425
2013,22,24,0,3,8.15404657137,497.36953469
2013,22,24,3,6,16.0171870091,1016.46264211
2013,22,24,6,9,24.3456270372,1367.52113227
2013,22,24,9,12,31.353175219,1495.86483104
2013,22,24,12,15,39.4986150692,1756.1580421
2013,22,24,15,18,49.2036501669,1727.21974416
2013,22,24,18,21,52.3677380371,1900.73846436
2013,22,24,21,24,57.603791484,2172.63118347
2013,22,24,24,50,79.1171938418,2650.47375787
2014,0,7,0,3,7.5878513683,389.506143592
2014,0,7,3,6,15.3966666621,885.71796875
2014,0,7,6,9,23.6454951369,1237.01932263
2014,0,7,9,12,30.8789695705,1403.06532992
2014,0,7,12,15,40.1988284383,1704.18848153
2014,0,7,15,18,51.3041923931,1869.76246124
2014,0,7,18,21,53.5763979132,2101.90825371
2014,0,7,21,24,58.5620866337,2438.44662447
2014,0,7,24,50,89.4532865813,2980.96810519
2014,7,10,0,3,8.65441334388,627.07761734
2014,7,10,3,6,17.5685528636,1298.96757318
2014,7,10,6,9,25.5168307003,1565.12368011
2014,7,10,9,12,34.0772068785,2029.80502138
2014,7,10,12,15,42.320889716,2381.42272018
2014,7,10,15,18,52.3027568756,2842.59122325
2014,7,10,18,21,54.1729687795,3164.45861507
2014,7,10,21,24,56.5721932605,3417.74389456
2014,7,10,24,50,85.5191649297,3744.97162644
2014,10,12,0,3,9.05631133672,688.428919502
2014,10,12,3,6,18.4477303037,1412.38220349
2014,10,12,6,9,26.0640371846,1574.72584478
2014,10,12,9,12,34.0200453554,1961.02706358
2014,10,12,12,15,42.2894792624,2214.04226586
2014,10,12,15,18,52.30879387,2519.32013826
2014,10,12,18,21,54.27763365,2925.77968778
2014,10,12,21,24,56.6088072276,3173.36376233
2014,10,12,24,50,82.5506048803,3535.13140108
2014,12,17,0,3,8.88586234492,652.541601947
2014,12,17,3,6,18.3100362954,1421.39177619
2014,12,17,6,9,26.6018693471,1719.39218856
2014,12,17,9,12,34.2838563376,2117.62871293
2014,12,17,12,15,44.0208591215,2559.00716185
2014,12,17,15,18,52.5985003356,3092.60276667
2014,12,17,18,21,54.1847767887,3326.09342235
2014,12,17,21,24,56.4050513267,3660.8660867
2014,12,17,24,50,79.0069632355,3920.96719056
2014,17,20,0,3,8.37592885485,574.923972742
2014,17,20,3,6,16.8646824705,1211.92068834
2014,17,20,6,9,25.0270597231,1504.85312929
2014,17,20,9,12,32.3671363184,1772.07850564
2014,17,20,12,15,41.4073696895,2136.53517001
2014,17,20,15,18,51.0664965625,2413.33893436
2014,17,20,18,21,53.1371125354,2614.11893874
2014,17,20,21,24,57.4793395635,2888.58783869
2014,17,20,24,50,87.9045243488,3196.57290487
2014,20,22,0,3,8.09131334143,507.234038354
2014,20,22,3,6,16.2431920818,1079.60357479
2014,20,22,6,9,24.6074951069,1421.07858098
2014,20,22,9,12,31.6547908866,1595.86692079
2014,20,22,12,15,40.1432465169,1905.43044292
2014,20,22,15,18,49.9008903459,2011.57283185
2014,20,22,18,21,53.1853664292,2248.84445267
2014,20,22,21,24,59.6817170691,2522.2043954
2014,20,22,24,50,92.5828166221,3016.92654539
2014,22,24,0,3,8.03551392601,479.107181241
2014,22,24,3,6,16.2598060752,1048.34839641
2014,22,24,6,9,24.7456064305,1435.31796204
2014,22,24,9,12,31.8650080007,1599.26013342
2014,22,24,12,15,40.3081730695,1899.58344205
2014,22,24,15,18,49.8177880542,1950.87151551
2014,22,24,18,21,53.4048189126,2143.84126143
2014,22,24,21,24,60.4878748412,2440.65014824
2014,22,24,24,50,94.172685069,3055.77791719
2014,0,7,0,3,7.91246553292,457.173334264
2014,0,7,3,6,15.8246101344,974.658849781
2014,0,7,6,9,24.0838768239,1366.4063928
2014,0,7,9,12,31.5497166027,1543.22109528
2014,0,7,12,15,39.8751660976,1802.10206971
2014,0,7,15,18,50.3758017152,1788.36121321
2014,0,7,18,21,54.1416948306,1971.86906817
2014,0,7,21,24,61.3510736761,2324.13584037
2014,0,7,24,50,90.2246317606,2953.7127733
2014,7,10,0,3,7.55055787369,428.738177771
2014,7,10,3,6,15.4754666404,948.299474309
2014,7,10,6,9,23.8295203384,1211.50459413
2014,7,10,9,12,31.0823210089,1402.42908334
2014,7,10,12,15,40.2578263313,1686.55127509
2014,7,10,15,18,52.0359221455,1757.60124221
2014,7,10,18,21,53.8547518606,2033.92843853
2014,7,10,21,24,57.7409744589,2379.13683455
2014,7,10,24,50,84.5347724725,3037.84151536
2014,10,12,0,3,8.08282675281,523.976245092
2014,10,12,3,6,16.4879382926,1132.88673585
2014,10,12,6,9,24.7250170221,1381.84151301
2014,10,12,9,12,32.1342814723,1611.44698334
2014,10,12,12,15,41.1714521432,1947.19431556
2014,10,12,15,18,52.2570183938,2111.58898689
2014,10,12,18,21,53.98909841,2450.78926765
2014,10,12,21,24,56.9594764476,2761.00255026
2014,10,12,24,50,83.3293831974,3548.82807515
2014,12,17,0,3,8.39063240898,559.97389857
2014,12,17,3,6,16.9514222704,1213.8623335
2014,12,17,6,9,25.3457555053,1508.68977487
2014,12,17,9,12,32.6540253275,1775.18849155
2014,12,17,12,15,42.7150461031,2206.7969711
2014,12,17,15,18,52.3661895417,2577.92450891
2014,12,17,18,21,53.8677507184,2890.29665899
2014,12,17,21,24,56.3136916227,3194.62041352
2014,12,17,24,50,81.4461185487,3642.88930927
2014,17,20,0,3,8.3047408539,554.435852197
2014,17,20,3,6,16.6434827398,1173.26134986
2014,17,20,6,9,24.9729836833,1489.09559512
2014,17,20,9,12,32.1133869777,1707.704555
2014,17,20,12,15,41.2676011938,2076.84519049
2014,17,20,15,18,51.2293719779,2361.38633564
2014,17,20,18,21,52.9622160676,2662.10617356
2014,17,20,21,24,56.4760130766,2930.88999856
2014,17,20,24,50,85.3427858904,3266.76540869
2014,20,22,0,3,8.11336404199,517.132302721
2014,20,22,3,6,16.1060119358,1074.3589435
2014,20,22,6,9,24.5099214593,1410.15123503
2014,20,22,9,12,31.4715626179,1567.83723802
2014,20,22,12,15,39.9362202025,1875.16559335
2014,20,22,15,18,50.0595906458,2090.80334444
2014,20,22,18,21,52.6163031036,2348.91051923
2014,20,22,21,24,57.1305096318,2612.01438673
2014,20,22,24,50,85.1135280641,3000.3382016
2014,22,24,0,3,8.15267868535,515.610388418
2014,22,24,3,6,16.2851191496,1086.658631
2014,22,24,6,9,24.6665382066,1471.80616749
2014,22,24,9,12,31.5996038783,1632.06437166
2014,22,24,12,15,39.9278673596,1904.91117574
2014,22,24,15,18,49.5838629177,1925.71688476
2014,22,24,18,21,52.6955740414,2120.50848391
2014,22,24,21,24,58.2308378378,2390.57267267
2014,22,24,24,50,88.5269280206,3120.57197943
2015,0,7,0,3,7.61275961142,478.50237103
2015,0,7,3,6,15.4919841209,1004.64325138
2015,0,7,6,9,23.779094687,1370.72518097
2015,0,7,9,12,31.0158112977,1551.7761182
2015,0,7,12,15,40.250686713,1884.95615182
2015,0,7,15,18,51.2826962527,2073.41530729
2015,0,7,18,21,53.489324569,2312.01173371
2015,0,7,21,24,58.0764282105,2658.11862801
2015,0,7,24,50,89.039124462,3228.77754849
2015,7,10,0,3,8.75030333225,688.102051836
2015,7,10,3,6,17.8654242843,1405.80479803
2015,7,10,6,9,25.9930581992,1700.1761244
2015,7,10,9,12,34.7366622578,2246.50662655
2015,7,10,12,15,43.1034940825,2661.32125992
2015,7,10,15,18,52.2959106468,3081.79552099
2015,7,10,18,21,54.1394860572,3437.84733793
2015,7,10,21,24,56.4214565511,3642.76066524
2015,7,10,24,50,85.0170449173,3952.97416413
2015,10,12,0,3,9.22656113806,768.86803896
2015,10,12,3,6,18.9119652274,1567.74080693
2015,10,12,6,9,26.6550554986,1754.77837083
2015,10,12,9,12,34.6926451802,2192.00375994
2015,10,12,12,15,42.8087035278,2448.34948861
2015,10,12,15,18,52.3146384489,2811.56377272
2015,10,12,18,21,54.2837413882,3219.81651671
2015,10,12,21,24,56.3231168963,3513.71841155
2015,10,12,24,50,81.0194874202,3865.6943297
2015,12,17,0,3,9.06005021642,747.111031211
2015,12,17,12,15,44.8251268124,2885.91322712
2015,12,17,15,18,52.6993975894,3445.46936739
2015,12,17,18,21,54.1689186419,3706.9081345
2015,12,17,21,24,56.3144028126,4060.59029597
2015,12,17,24,50,86.703446052,4250.91955597
2015,12,17,3,6,18.9289207409,1610.84770376
2015,12,17,6,9,27.456974703,1968.4044696
2015,12,17,9,12,35.2937094524,2422.81069008
2015,17,20,0,3,8.50007265936,657.946616629
2015,17,20,3,6,17.2109011666,1346.31460596
2015,17,20,6,9,25.3841428882,1659.10962501
2015,17,20,9,12,32.908464532,1982.33647132
2015,17,20,12,15,41.7367344631,2357.83728173
2015,17,20,15,18,51.0682877661,2660.55108014
2015,17,20,18,21,53.061338676,2868.61729305
2015,17,20,21,24,57.3543718822,3160.44816888
2015,17,20,24,50,88.1769045753,3447.52818132
2015,20,22,0,3,8.19516360397,597.332719524
2015,20,22,3,6,16.5080160898,1198.7884691
2015,20,22,6,9,24.9032353622,1547.04852559
2015,20,22,9,12,32.1653856207,1745.80830966
2015,20,22,12,15,40.3490386097,2057.71641859
2015,20,22,15,18,49.7764803932,2180.76486246
2015,20,22,18,21,53.0041918227,2421.07992464
2015,20,22,21,24,58.3452598761,2680.43676766
2015,20,22,24,50,90.1651011254,3147.44912253
2015,22,24,0,3,8.20802278603,574.490885007
2015,22,24,3,6,16.518574594,1179.42430736
2015,22,24,6,9,25.1138413619,1589.99639095
2015,22,24,9,12,32.3445706579,1771.83703941
2015,22,24,12,15,40.4418003657,2051.32761342
2015,22,24,15,18,49.5614172614,2084.28057166
2015,22,24,18,21,53.0690457947,2254.18901483
2015,22,24,21,24,58.9398090186,2567.8137931
2015,22,24,24,50,92.5879181212,3125.060457
2015,0,7,0,3,8.19700620875,604.678938022
2015,0,7,3,6,15.9817318188,1173.65570333
2015,0,7,6,9,24.2700514339,1604.86052789
2015,0,7,9,12,31.7127961123,1799.52756088
2015,0,7,12,15,39.9319880387,2104.32630957
2015,0,7,15,18,50.4484965784,2021.33207602
2015,0,7,18,21,53.9817795572,2217.51200355
2015,0,7,21,24,60.3067325135,2633.43873943
2015,0,7,24,50,90.9287667411,3329.60580357
2015,7,10,0,3,7.51538855167,504.88710332
2015,7,10,3,6,15.5575656599,1058.12378918
2015,7,10,6,9,23.8922658422,1339.6211729
2015,7,10,9,12,31.3426013134,1577.03476032
2015,7,10,12,15,40.1960156201,1869.42379447
2015,7,10,15,18,51.9715664549,1972.59184244
2015,7,10,18,21,53.7621246949,2284.70343521
2015,7,10,21,24,57.1583934764,2640.74721155
2015,7,10,24,50,102.082569697,3283.12929293
2015,10,12,0,3,8.06495281064,605.457290784
2015,10,12,3,6,16.6501693743,1263.48332513
2015,10,12,6,9,24.8786260211,1539.56532318
2015,10,12,9,12,32.4325122639,1797.1366732
2015,10,12,12,15,41.2547462445,2194.79185915
